step,time,rain_volume,eta_volume,max_eta,min_eta
124,12.40,0.000000,-nan(ind),inf,-inf
125,12.50,0.000000,-nan(ind),inf,-inf
126,12.60,0.000000,-nan(ind),inf,-inf
127,12.70,0.000000,-nan(ind),inf,-inf
128,12.80,0.000000,-nan(ind),inf,-inf
129,12.90,0.000000,-nan(ind),inf,-inf
130,13.00,0.000000,-nan(ind),inf,-inf
131,13.10,0.000000,-nan(ind),inf,-inf
132,13.20,0.000000,-nan(ind),inf,-inf
133,13.30,0.000000,-nan(ind),inf,-inf
134,13.40,0.000000,-nan(ind),inf,-inf
135,13.50,0.000000,-nan(ind),inf,-inf
136,13.60,0.000000,-nan(ind),inf,-inf
137,13.70,0.000000,-nan(ind),inf,-inf
138,13.80,0.000000,-nan(ind),inf,-inf
139,13.90,0.000000,-nan(ind),inf,-inf
140,14.00,0.000000,-nan(ind),inf,-inf
141,14.10,0.000000,-nan(ind),inf,-inf
142,14.20,0.000000,-nan(ind),inf,-inf
143,14.30,0.000000,-nan(ind),inf,-inf
144,14.40,0.000000,-nan(ind),inf,-inf
145,14.50,0.000000,-nan(ind),inf,-inf
146,14.60,0.000000,-nan(ind),inf,-inf
147,14.70,0.000000,-nan(ind),inf,-inf
148,14.80,0.000000,-nan(ind),inf,-inf
149,14.90,0.000000,-nan(ind),inf,-inf
150,15.00,0.000000,-nan(ind),inf,-inf
151,15.10,0.000000,-nan(ind),inf,-inf
152,15.20,0.000000,-nan(ind),inf,-inf
153,15.30,0.000000,-nan(ind),inf,-inf
154,15.40,0.000000,-nan(ind),inf,-inf
155,15.50,0.000000,-nan(ind),inf,-inf
156,15.60,0.000000,-nan(ind),inf,-inf
157,15.70,0.000000,-nan(ind),inf,-inf
158,15.80,0.000000,-nan(ind),inf,-inf
159,15.90,0.000000,-nan(ind),inf,-inf
160,16.00,0.000000,-nan(ind),inf,-inf
161,16.10,0.000000,-nan(ind),inf,-inf
162,16.20,0.000000,-nan(ind),inf,-inf
163,16.30,0.000000,-nan(ind),inf,-inf
164,16.40,0.000000,-nan(ind),inf,-inf
165,16.50,0.000000,-nan(ind),inf,-inf
166,16.60,0.000000,-nan(ind),inf,-inf
167,16.70,0.000000,-nan(ind),inf,-inf
168,16.80,0.000000,-nan(ind),inf,-inf
169,16.90,0.000000,-nan(ind),inf,-inf
170,17.00,0.000000,-nan(ind),inf,-inf
171,17.10,0.000000,-nan(ind),inf,-inf
172,17.20,0.000000,-nan(ind),inf,-inf
173,17.30,0.000000,-nan(ind),inf,-inf
174,17.40,0.000000,-nan(ind),inf,-inf
175,17.50,0.000000,-nan(ind),inf,-inf
176,17.60,0.000000,-nan(ind),inf,-inf
177,17.70,0.000000,-nan(ind),inf,-inf
178,17.80,0.000000,-nan(ind),inf,-inf
179,17.90,0.000000,-nan(ind),inf,-inf
180,18.00,0.000000,-nan(ind),inf,-inf
181,18.10,0.000000,-nan(ind),inf,-inf
182,18.20,0.000000,-nan(ind),inf,-inf
183,18.30,0.000000,-nan(ind),inf,-inf
184,18.40,0.000000,-nan(ind),inf,-inf
185,18.50,0.000000,-nan(ind),inf,-inf
186,18.60,0.000000,-nan(ind),inf,-inf
187,18.70,0.000000,-nan(ind),inf,-inf
188,18.80,0.000000,-nan(ind),inf,-inf
189,18.90,0.000000,-nan(ind),inf,-inf
190,19.00,0.000000,-nan(ind),inf,-inf
191,19.10,0.000000,-nan(ind),inf,-inf
192,19.20,0.000000,-nan(ind),inf,-inf
193,19.30,0.000000,-nan(ind),inf,-inf
194,19.40,0.000000,-nan(ind),inf,-inf
195,19.50,0.000000,-nan(ind),inf,-inf
196,19.60,0.000000,-nan(ind),inf,-inf
197,19.70,0.000000,-nan(ind),inf,-inf
198,19.80,0.000000,-nan(ind),inf,-inf
199,19.90,0.000000,-nan(ind),inf,-inf
200,20.00,0.000000,-nan(ind),inf,-inf
201,20.10,0.000000,-nan(ind),inf,-inf
202,20.20,0.000000,-nan(ind),inf,-inf
203,20.30,0.000000,-nan(ind),inf,-inf
204,20.40,0.000000,-nan(ind),inf,-inf
205,20.50,0.000000,-nan(ind),inf,-inf
206,20.60,0.000000,-nan(ind),inf,-inf
207,20.70,0.000000,-nan(ind),inf,-inf
208,20.80,0.000000,-nan(ind),inf,-inf
209,20.90,0.000000,-nan(ind),inf,-inf
210,21.00,0.000000,-nan(ind),inf,-inf
211,21.10,0.000000,-nan(ind),inf,-inf
212,21.20,0.000000,-nan(ind),inf,-inf
213,21.30,0.000000,-nan(ind),inf,-inf
214,21.40,0.000000,-nan(ind),inf,-inf
215,21.50,0.000000,-nan(ind),inf,-inf
216,21.60,0.000000,-nan(ind),inf,-inf
217,21.70,0.000000,-nan(ind),inf,-inf
218,21.80,0.000000,-nan(ind),inf,-inf
219,21.90,0.000000,-nan(ind),inf,-inf
220,22.00,0.000000,-nan(ind),inf,-inf
221,22.10,0.000000,-nan(ind),inf,-inf
222,22.20,0.000000,-nan(ind),inf,-inf
223,22.30,0.000000,-nan(ind),inf,-inf
224,22.40,0.000000,-nan(ind),inf,-inf
225,22.50,0.000000,-nan(ind),inf,-inf
226,22.60,0.000000,-nan(ind),inf,-inf
227,22.70,0.000000,-nan(ind),inf,-inf
228,22.80,0.000000,-nan(ind),inf,-inf
229,22.90,0.000000,-nan(ind),inf,-inf
230,23.00,0.000000,-nan(ind),inf,-inf
231,23.10,0.000000,-nan(ind),inf,-inf
232,23.20,0.000000,-nan(ind),inf,-inf
233,23.30,0.000000,-nan(ind),inf,-inf
234,23.40,0.000000,-nan(ind),inf,-inf
235,23.50,0.000000,-nan(ind),inf,-inf
236,23.60,0.000000,-nan(ind),inf,-inf
237,23.70,0.000000,-nan(ind),inf,-inf
238,23.80,0.000000,-nan(ind),inf,-inf
239,23.90,0.000000,-nan(ind),inf,-inf
240,24.00,0.000000,-nan(ind),inf,-inf
241,24.10,0.000000,-nan(ind),inf,-inf
242,24.20,0.000000,-nan(ind),inf,-inf
243,24.30,0.000000,-nan(ind),inf,-inf
244,24.40,0.000000,-nan(ind),inf,-inf
245,24.50,0.000000,-nan(ind),inf,-inf
246,24.60,0.000000,-nan(ind),inf,-inf
247,24.70,0.000000,-nan(ind),inf,-inf
248,24.80,0.000000,-nan(ind),inf,-inf
249,24.90,0.000000,-nan(ind),inf,-inf
250,25.00,0.000000,-nan(ind),inf,-inf
251,25.10,0.000000,-nan(ind),inf,-inf
252,25.20,0.000000,-nan(ind),inf,-inf
253,25.30,0.000000,-nan(ind),inf,-inf
254,25.40,0.000000,-nan(ind),inf,-inf
255,25.50,0.000000,-nan(ind),inf,-inf
256,25.60,0.000000,-nan(ind),inf,-inf
257,25.70,0.000000,-nan(ind),inf,-inf
258,25.80,0.000000,-nan(ind),inf,-inf
259,25.90,0.000000,-nan(ind),inf,-inf
260,26.00,0.000000,-nan(ind),inf,-inf
261,26.10,0.000000,-nan(ind),inf,-inf
262,26.20,0.000000,-nan(ind),inf,-inf
263,26.30,0.000000,-nan(ind),inf,-inf
264,26.40,0.000000,-nan(ind),inf,-inf
265,26.50,0.000000,-nan(ind),inf,-inf
266,26.60,0.000000,nan,inf,-inf
267,26.70,0.000000,-nan(ind),inf,-inf
268,26.80,0.000000,-nan(ind),inf,-inf
269,26.90,0.000000,-nan(ind),inf,-inf
270,27.00,0.000000,-nan(ind),inf,-inf
271,27.10,0.000000,-nan(ind),inf,-inf
272,27.20,0.000000,-nan(ind),inf,-inf
273,27.30,0.000000,-nan(ind),inf,-inf
274,27.40,0.000000,-nan(ind),inf,-inf
275,27.50,0.000000,-nan(ind),inf,-inf
276,27.60,0.000000,-nan(ind),inf,-inf
277,27.70,0.000000,-nan(ind),inf,-inf
278,27.80,0.000000,-nan(ind),inf,-inf
279,27.90,0.000000,-nan(ind),inf,-inf
280,28.00,0.000000,-nan(ind),inf,-inf
281,28.10,0.000000,-nan(ind),inf,-inf
282,28.20,0.000000,-nan(ind),inf,-inf
